,Kanji,Meaning,Radicals,Sound
0,大学,university,Big + Study,だいがく
1,大人,adult,Big + Person,おとな
2,大統領,president (of a country),Big + Unite + Territory,だいとうりょう
3,大陸,continent,Big + Land,たいりく
4,大臣,cabinet minister,Big + Servant,だいじん
5,大変,very,Big + Change,たいへん
6,大きい,big,Big,おお
7,大切,important,Big + Cut,たいせつ
8,大好き,liking very much,Big + Like,だいす
9,大丈夫,safe,Big + Height + Husband,だいじょうぶ
10,大勢,crowd of people,Big + Force,おおぜい
11,大学院,graduate school,Big + Study + Institution,だいがくいん
12,大抵,mostly,Big + Resist,たいてい
13,大事,important,Big + Action,だいじ
14,大体,generally,Big + Body,だいたい
15,大学生,university student,Big + Study + Life,だいがくせい
16,大いに,very,Big,おお
17,偉大,great,Greatness + Big,いだい
18,巨大,huge,Giant + Big,きょだい
19,大会,mass meeting,Big + Meet,たいかい
20,拡大,expansion,Extend + Big,かくだい
21,大気,atmosphere,Big + Energy,たいき
22,大した,considerable,Big,たい
23,総理大臣,prime minister (as the head of a cabinet government),Whole + Reason + Big + Servant,そうりだいじん
24,膨大,huge,Swell + Big,ぼうだい
25,大人しい,gentle,Big + Person,おとな
26,大衆,general public,Big + Populace,たいしゅう
27,大胆,bold,Big + Guts,だいたん
28,大幅,big,Big + Width,おおはば
29,壮大,magnificent,Robust + Big,そうだい
30,大空,wide open sky,Big + Sky,おおぞら
31,大概,generally,Big + Approximation,たいがい
32,太平洋,Pacific Ocean,Fat + Peace + Western Style,たいへいよう
33,大尉,"captain (Army, US Marine Corps, USAF)",Big + Military Officer,たいい
34,大砲,(large) gun,Big + Cannon,たいほう
35,大仏,large statue of Buddha (trad. at least 4.8m high),Big + Buddha,だいぶつ
36,大文字,uppercase letter,Big + Writing + Letter,おおもじ
37,大量,large quantity,Big + Quantity,たいりょう
38,寛大,tolerant,Tolerance + Big,かんだい
39,大規模,large-scale,Big + Standard + Imitation,だいきぼ
40,大騒ぎ,clamour,Big + Boisterous,おおさわ
41,大将,general,Big + Commander,たいしょう
42,医大,medical university,Medicine + Big,いだい
43,大声,loud voice,Big + Voice,おおごえ
44,大嫌い,hating,Big + Dislike,だいきら
45,大きさ,size,Big,おお
46,大阪,"Osaka (city, prefecture)",Big + Heights,おおさか
47,甚大,very great,Very + Big,じんだい
48,大敵,great rival,Big + Enemy,たいてき
49,大学院生,graduate student,Big + Study + Institution + Life,だいがくいんせい
50,外務大臣,Minister for Foreign Affairs,Outside + Task + Big + Servant,がいむだいじん
51,大佐,colonel,Big + Help,たいさ
52,私立大学,private university,I + Stand + Big + Study,しりつだいがく
53,大きく,in a big way,Big,おお
54,副大統領,vice president (of a country),Vice + Big + Unite + Territory,ふくだいとうりょう
55,大根,"daikon (variety of large white Oriental radish, Raphanus sativus var. longipinnatus)",Big + Root,だいこん
56,大間違い,great mistake,Big + Interval + Different,おおまちが
57,大根,"daikon (variety of large white Oriental radish, Raphanus sativus var. longipinnatus)",Big + Root,だいこん
58,大間違い,great mistake,Big + Interval + Different,おおまちが
0,外国人,foreigner,Outside + Country + Person,がいこくじん
1,大人,adult,Big + Person,おとな
2,人形,doll,Person + Shape,にんぎょう
3,人口,population,Person + Mouth,じんこう
4,商人,merchant,Merchandise + Person,しょうにん
5,人間,human being,Person + Interval,にんげん
6,人生,(one's) life,Person + Life,じんせい
7,詩人,poet,Poem + Person,しじん
8,個人,individual,Individual + Person,こじん
9,人種,race (of people),Person + Kind,じんしゅ
10,恋人,lover,Romance + Person,こいびと
11,人差し指,index finger,Person + Distinction + Finger,ひとさゆび
12,殺人,murder,Kill + Person,さつじん
13,人格,personality,Person + Status,じんかく
14,証人,witness,Evidence + Person,しょうにん
15,友人,friend,Friend + Person,ゆうじん
16,他人,another person,Other + Person,たにん
17,老人,old person,Elderly + Person,ろうじん
18,人気,popularity,Person + Energy,にんき
19,美人,beautiful woman,Beauty + Person,びじん
20,婦人,woman,Wife + Person,ふじん
21,人類,mankind,Person + Type,じんるい
22,犯人,offender,Crime + Person,はんにん
23,名人,master,Name + Person,めいじん
24,役人,government official,Service + Person,やくにん
25,人ごみ,crowd of people,Person,ひと
26,男の人,man,Man + Person,おとこひと
27,大人しい,gentle,Big + Person,おとな
28,独り言,soliloquy,Alone + Say,ひとごと
29,人造,artificial,Person + Create,じんぞう
30,女の人,woman,Woman + Person,おんなひと
31,人柄,personality,Person + Pattern,ひとがら
32,人情,humanity,Person + Feeling,にんじょう
33,玄人,expert,Mysterious + Person,くろうと
34,一人,one person,One + Person,ひとり
35,二人,two persons,Two + Person,ふたり
36,外人,foreigner (esp. one of European ancestry),Outside + Person,がいじん
37,人権,human rights,Person + Rights,じんけん
38,軍人,serviceman,Army + Person,ぐんじん
39,人類学,anthropology,Person + Type + Study,じんるいがく
40,求人,recruiting,Request + Person,きゅうじん
41,人参,carrot (Daucus carota),Person + Participate,にんじん
42,人工,artificial,Person + Construction,じんこう
43,人々,people,Person + Repeater,ひとびと
44,三人,three people,Three + Person,さんにん
45,主人,head (of a household),Master + Person,しゅじん
46,病人,sick person,Sick + Person,びょうにん
47,隣人,neighbour,Neighbor + Person,りんじん
48,囚人,prisoner,Criminal + Person,しゅうじん
49,村人,villager,Village + Person,むらびと
50,黒人,black person,Black + Person,こくじん
51,悪人,bad person,Bad + Person,あくにん
52,別人,different person,Separate + Person,べつじん
53,人数,the number of people,Person + Count,にんずう
54,愛人,lover,Love + Person,あいじん
55,住人,dweller,Dwelling + Person,じゅうにん
56,盲人,blind person,Blind + Person,もうじん
57,巨人,giant,Giant + Person,きょじん
58,芸人,(TV) comedian,Acting + Person,げいにん
59,賢人,wise person,Clever + Person,けんじん
60,達人,master,Attain + Person,たつじん
61,人脈,personal connections,Person + Vein,じんみゃく
62,万人,all people,Ten Thousand + Person,ばんにん
63,貧乏人,poor person,Poor + Scarce + Person,びんぼうにん
64,偉人,great person,Greatness + Person,いじん
65,恩人,benefactor,Kindness + Person,おんじん
66,人殺し,murder,Person + Kill,ひとごろ
67,人違い,mistaking one person for another,Person + Different,ひとちが
68,人たち,people,Person,ひと
69,何人,how many people,What + Person,なんにん
70,料理人,cook,Fee + Reason + Person,りょうりにん
71,管理人,administrator,Pipe + Reason + Person,かんりにん
72,変人,eccentric,Change + Person,へんじん
73,狩人,hunter,Hunt + Person,かりゅうど
74,依頼人,client,Reliant + Trust + Person,いらいにん
75,宇宙人,space alien,Outer Space + Mid Air + Person,うちゅうじん
76,宇宙人,space alien,Outer Space + Mid Air + Person,うちゅうじん
77,殺人者,killer,Kill + Person + Someone,さつじんしゃ
0,七つ,seven,Seven,なな
1,７日,7th day of the month,Sun,なのか
0,２０日,20th day of the month,Sun,はつか
1,１０日,10th day of the month,Sun,とおか
2,２０歳,20 years old,Years Old,はたち
3,１０月,October,Moon,じゅうがつ
4,１０代,the teens (10-19),Substitute,じゅうだい
5,５０,fifty,,ごじゅう
6,１０万,"100,000",Ten Thousand,じゅうまん
0,工場,factory,Construction + Location,こうじょう
1,具合,condition,Tool + Suit,ぐあい
2,工業,(manufacturing) industry,Construction + Business,こうぎょう
3,工学,engineering,Construction + Study,こうがく
4,工事,construction work,Construction + Action,こうじ
5,工作,handicraft,Construction + Make,こうさく
6,人工,artificial,Person + Construction,じんこう
0,九つ,nine,Nine,ここの
1,９日,9th day of the month,Sun,ここのか
2,九州,Kyūshū (southernmost of the four main islands of Japan),Nine + State,きゅうしゅう
0,八つ,eight,Eight,やっ
1,８日,8th day of the month,Sun,ようか
0,二つ,two,Two,ふた
1,２０日,20th day of the month,Sun,はつか
2,双子,twins,Pair + Child,ふたご
3,再び,again,Again,ふたた
4,２日,2nd day of the month,Sun,ふつか
5,二人,two persons,Two + Person,ふたり
6,２０歳,20 years old,Years Old,はたち
7,二日酔い,hangover,Two + Sun + Drunk,ふつかよ
8,二番,second,Two + Number In A Series,にばん
9,２月,February,Moon,にがつ
10,二階,second floor,Two + Floor,にかい
11,２００,200,,にひゃく
12,二重,double,Two + Heavy,にじゅう
13,二世,nisei,Two + World,にせい
14,二枚舌,double-dealing,Two + Flat Objects Counter + Tongue,にまいじた
15,富士山,Mount Fuji,Rich + Samurai + Mountain,ふじさん
16,二倍,double,Two + Double,にばい
0,上げる,to raise,Above,あ
1,上手,skillful,Above + Hand,じょうず
2,上る,to ascend,Above,のぼ
3,以上,not less than ...,By Means Of + Above,いじょう
4,上がる,to rise,Above,あ
5,屋上,rooftop,Roof + Above,おくじょう
6,上手い,skillful,Above + Hand,うま
7,上司,(one's) superior,Above + Director,じょうし
8,売り上げ,amount sold,Sell + Above,うあ
9,上級,upper level,Above + Rank,じょうきゅう
10,上旬,first third of a month,Above + In Season,じょうじゅん
11,上演,"performance (of a play, opera, etc.)",Above + Perform,じょうえん
12,浮気,extramarital sex,Float + Energy,うわき
13,和尚,priestly teacher,Peace + Furthermore,おしょう
14,上げ,tuck (e.g. in a dress),Above,あ
15,年上,older,Year + Above,としうえ
16,地上,above ground,Earth + Above,ちじょう
0,地下鉄,subway,Earth + Below + Iron,ちかてつ
1,靴下,socks,Shoes + Below,くつした
2,地下,underground,Earth + Below,ちか
3,下さい,please (give me),Below,くだ
4,降りる,to descend (e.g. a mountain),Descend,お
5,下手,unskillful,Below + Hand,へた
6,廊下,corridor,Corridor + Below,ろうか
7,下駄,geta,Below + Burdensome,げた
8,下がる,to come down,Below,さ
9,以下,not exceeding ...,By Means Of + Below,いか
10,下げる,to hang,Below,さ
11,下着,underwear,Below + Wear,したぎ
12,下痢,diarrhea,Below + Diarrhea,げり
13,下町,"low-lying part of a city (usu. containing shops, factories, etc.)",Below + Town,したまち
14,下ろす,to take down,Below,お
15,下旬,last third of a month,Below + In Season,げじゅん
16,下品,vulgar,Below + Product,げひん
17,下書き,draft,Below + Write,したが
18,年下,younger,Year + Below,としした
19,零下,below zero,Zero + Below,れいか
20,却下,rejection,Contrary + Below,きゃっか
0,入学,admission (to a school or university),Enter + Study,にゅうがく
1,押入れ,"closet (built into the wall, usu. with sliding doors)",Push + Enter,おしい
2,収入,income,Obtain + Enter,しゅうにゅう
3,輸入,import,Transport + Enter,ゆにゅう
4,入る,to enter,Enter,はい
5,入れる,to put in,Enter,い
6,入院,hospitalization,Enter + Institution,にゅういん
7,入場,entrance,Enter + Location,にゅうじょう
8,気に入る,to like,Energy + Enter,きい
9,侵入,invasion,Invade + Enter,しんにゅう
10,入社,joining a company,Enter + Company,にゅうしゃ
11,購入,purchase,Subscription + Enter,こうにゅう
12,介入,intervention,Jammed In + Enter,かいにゅう
13,入り口,entrance,Enter + Mouth,いぐち
14,歳入,annual revenue (government),Years Old + Enter,さいにゅう
15,入力,input,Enter + Power,にゅうりょく
16,入学試験,entrance examination,Enter + Study + Try + Test,にゅうがくしけん
0,人口,population,Person + Mouth,じんこう
1,口紅,lipstick,Mouth + Deep Red,くちべに
2,早口,fast-talking,Early + Mouth,はやくち
3,窓口,counter,Window + Mouth,まどぐち
4,裏口,backdoor,Backside + Mouth,うらぐち
5,悔しい,"frustrated (over a failure, humiliation or injustice)",Regret,くや
6,入り口,entrance,Enter + Mouth,いぐち
7,出口,exit,Exit + Mouth,でぐち
8,非常口,emergency exit,Injustice + Normal + Mouth,ひじょうぐち
9,口笛,whistle (sound made with the lips),Mouth + Flute,くちぶえ
10,悪口,(verbal) abuse,Bad + Mouth,わるぐち
11,口調,tone (of voice),Mouth + Investigate,くちょう
12,辛口,"dry taste (e.g. sake, wine)",Spicy + Mouth,からくち
13,口癖,pet saying,Mouth + Habit,くちぐせ
14,戸口,door,Door + Mouth,とぐち
0,相撲,sumo (wrestling),Mutual + Slap,すもう
1,電力,electric power,Electricity + Power,でんりょく
2,暴力,violence,Violence + Power,ぼうりょく
3,圧力,pressure,Pressure + Power,あつりょく
4,体力,physical strength,Body + Power,たいりょく
5,努力,effort,Toil + Power,どりょく
6,能力,ability,Ability + Power,のうりょく
7,協力,cooperation,Cooperation + Power,きょうりょく
8,魅力,charm,Alluring + Power,みりょく
9,強力,powerful,Strong + Power,きょうりょく
10,実力,(real) ability,Truth + Power,じつりょく
11,効力,effect,Effective + Power,こうりょく
12,勢力,influence,Force + Power,せいりょく
13,原子力,atomic energy,Original + Child + Power,げんしりょく
14,創造力,creative power,Create + Create + Power,そうぞうりょく
15,入力,input,Enter + Power,にゅうりょく
16,握力,grip (of hand),Grip + Power,あくりょく
17,馬力,horsepower,Horse + Power,ばりき
18,全力,"all one's power (strength, energy, efforts)",All + Power,ぜんりょく
19,暴力団,bōryokudan,Violence + Power + Group,ぼうりょくだん
20,無力,powerlessness,Nothing + Power,むりょく
21,力士,sumo wrestler,Power + Samurai,りきし
22,助力,assistance,Help + Power,じょりょく
23,尽力,efforts,Exhaust + Power,じんりょく
24,弾力,elasticity,Bullet + Power,だんりょく
0,川底,riverbed,River + Bottom,かわぞこ
1,川柳,senryū,River + Willow,せんりゅう
2,川崎,Kawasaki (city),River + Cape,かわさき
3,滝川,rapids,Waterfall + River,たきがわ
4,淀川,Yodo River,Eddy + River,
5,神奈川県,Kanagawa Prefecture (Kanto area),God + Nara + River + Prefecture,かながわけん
6,香川県,Kagawa Prefecture (Shikoku),Fragrance + River + Prefecture,かがわけん
0,一致,agreement,One + Do,いっち
1,一番,number one,One + Number In A Series,いちばん
2,一つ,one,One,ひと
3,一緒,(doing) together,One + Together,いっしょ
4,一生懸命,very hard,One + Life + Suspend + Fate,いっしょうけんめい
5,一体,(what) the heck,One + Body,いったい
6,一層,even more,One + Layer,いっそう
7,唯一,only,Solely + One,ゆいいつ
8,一生,whole life,One + Life,いっしょう
9,一般,general,One + Generally,いっぱん
10,一瞬,instant,One + Blink,いっしゅん
11,一時,one o'clock,One + Time,いちじ
12,一応,more or less,One + Respond,いちおう
13,一旦,once,One + Dawn,いったん
14,一昨日,day before yesterday,One + Previous + Sun,おととい
15,一流,first-class,One + Stream,いちりゅう
16,独り言,soliloquy,Alone + Say,ひとごと
17,一括,lumping together,One + Fasten,いっかつ
18,一概に,unconditionally,One + Approximation,いちがい
19,１日,first day of the month,Sun,ついたち
20,１０日,10th day of the month,Sun,とおか
21,一人,one person,One + Person,ひとり
22,一杯,one cup (of),One + Cup Of Liquid,いっぱい
23,一般的,general,One + Generally + Target,いっぱんてき
24,１月,January,Moon,いちがつ
25,１０月,October,Moon,じゅうがつ
26,一周,one round,One + Circumference,いっしゅう
27,一貫,consistency,One + Pierce,いっかん
28,一等,first class,One + Equal,いっとう
29,一億,"100,000,000",One + Hundred Million,いちおく
30,一階,first floor,One + Floor,いっかい
31,一階,first floor,One + Floor,いっかい
32,一例,example,One + Example,いちれい
33,一打,stroke,One + Hit,いちだ
34,一筋,one line,One + Muscle,ひとすじ
35,１０万,"100,000",Ten Thousand,じゅうまん
36,一代,generation,One + Substitute,いちだい
0,三つ,three,Three,みっ
1,３日,3rd day of the month,Sun,みっか
2,三人,three people,Three + Person,さんにん
3,三角,triangle,Three + Angle,さんかく
4,三角形,triangle,Three + Angle + Shape,さんかくけい
5,３００,300,,さんびゃく
0,登山,mountain climbing,Climb + Mountain,とざん
1,沢山,a lot,Swamp + Mountain,たくさん
2,火山,volcano,Fire + Mountain,かざん
3,山脈,mountain range,Mountain + Vein,さんみゃく
4,鉱山,mine (ore),Mineral + Mountain,こうざん
5,山岳,mountain chain,Mountain + Peak,さんがく
6,山葵,wasabi (Wasabia japonica),Mountain + Hollyhock,わさび
7,山頂,summit (of a mountain),Mountain + Summit,さんちょう
8,山登り,mountain climbing,Mountain + Climb,やまのぼ
9,山賊,bandit,Mountain + Robber,さんぞく
10,富士山,Mount Fuji,Rich + Samurai + Mountain,ふじさん
11,銅山,copper mine,Copper + Mountain,どうざん
12,山荘,mountain villa,Mountain + Villa,さんそう
0,女性,woman,Woman + Gender,じょせい
1,少女,girl (usu. between 7 and 17),Few + Woman,しょうじょ
2,女王,queen,Woman + King,じょおう
3,女の子,girl,Woman + Child,おんなこ
4,彼女,she,He + Woman,かのじょ
5,女優,actress,Woman + Superior,じょゆう
6,夫婦,married couple,Husband + Wife,ふうふ
7,女子,woman,Woman + Child,じょし
8,女の人,woman,Woman + Person,おんなひと
9,女神,goddess,Woman + God,めがみ
10,魔女,witch,Devil + Woman,まじょ
11,淑女,lady,Graceful + Woman,しゅくじょ
12,王女,princess,King + Woman,おうじょ
0,作文,"writing (an essay, prose, etc.)",Make + Writing,さくぶん
1,文化,culture,Writing + Change,ぶんか
2,文学,literature,Writing + Study,ぶんがく
3,文法,grammar,Writing + Method,ぶんぽう
4,論文,thesis,Theory + Writing,ろんぶん
5,文字,letter (of an alphabet),Writing + Letter,もじ
6,文章,writing,Writing + Chapter,ぶんしょう
7,注文,order (for an item),Pour + Writing,ちゅうもん
8,文句,complaint,Writing + Paragraph,もんく
9,学問,study,Study + Problem,がくもん
10,英文,English writing,England + Writing,えいぶん
11,大文字,uppercase letter,Big + Writing + Letter,おおもじ
12,文字通り,literally,Writing + Letter + Pass Through,もじどお
13,例文,example sentence,Example + Writing,れいぶん
14,序文,preface,Preface + Writing,じょぶん
15,文化祭,school festival,Writing + Change + Festival,ぶんかさい
16,顔文字,emoticon,Face + Writing + Letter,かおもじ
0,短刀,short sword,Short + Sword,たんとう
0,背中,back (of the body),Back + Middle,せなか
1,中学校,junior high school,Middle + Study + School,ちゅうがっこう
2,お腹,belly,Belly,なか
3,中指,middle finger,Middle + Finger,なかゆび
4,途中,on the way,Route + Middle,とちゅう
5,中央,centre,Middle + Center,ちゅうおう
6,中止,interruption,Middle + Stop,ちゅうし
7,世の中,society,World + Middle,よなか
8,集中,concentration (on a task),Collect + Middle,しゅうちゅう
9,年中,whole year,Year + Middle,ねんじゅう
10,中古,used,Middle + Old,ちゅうこ
11,当たる,to be hit,Correct,あ
12,中々,very,Middle + Repeater,なかなか
13,夢中,absorbed in,Dream + Middle,むちゅう
14,中旬,middle ten days of a month,Middle + In Season,ちゅうじゅん
15,連中,company,Take Along + Middle,れんちゅう
16,当たり,hit,Correct,あ
17,中毒,poisoning,Middle + Poison,ちゅうどく
18,中枢,centre,Middle + Hinge,ちゅうすう
19,地中海,Mediterranean Sea,Earth + Middle + Sea,ちちゅうかい
20,中東,Middle East,Middle + East,ちゅうとう
21,食中毒,food poisoning,Eat + Middle + Poison,しょくちゅうどく
22,中華,China,Middle + Showy,ちゅうか
23,中国,China,Middle + Country,ちゅうごく
24,水中,underwater,Water + Middle,すいちゅう
25,中途半端,halfway,Middle + Route + Half + Edge,ちゅうとはんぱ
26,中学生,junior high school student,Middle + Study + Life,ちゅうがくせい
27,地中,in the ground,Earth + Middle,ちちゅう
0,時計,clock,Time + Measure,
1,土曜日,Saturday,Dirt + Weekday + Sun,どようび
2,お土産,local specialty or souvenir bought as a gift while travelling,Dirt + Give Birth,みやげ
3,土地,plot of land,Dirt + Earth,とち
4,領土,territory,Territory + Dirt,りょうど
5,土壌,soil,Dirt + Soil,どじょう
6,粘土,clay,Sticky + Dirt,ねんど
7,土俵,(wrestling) ring,Dirt + Sack,どひょう
0,毎日,every day,Every + Sun,まいにち
1,火曜日,Tuesday,Fire + Weekday + Sun,かようび
2,日曜日,Sunday,Sun + Weekday + Sun,にちようび
3,誕生日,birthday,Birth + Life + Sun,たんじょうび
4,土曜日,Saturday,Dirt + Weekday + Sun,どようび
5,月曜日,Monday,Moon + Weekday + Sun,げつようび
6,金曜日,Friday,Gold + Weekday + Sun,きんようび
7,木曜日,Thursday,Tree + Weekday + Sun,もくようび
8,水曜日,Wednesday,Water + Weekday + Sun,すいようび
9,日記,diary,Sun + Write Down,にっき
10,今日,today,Now + Sun,きょう
11,明日,tomorrow,Bright + Sun,あした
12,昨日,yesterday,Previous + Sun,きのう
13,２０日,20th day of the month,Sun,はつか
14,平日,weekday,Peace + Sun,へいじつ
15,祝日,national holiday,Celebrate + Sun,しゅくじつ
16,日焼け,sunburn,Sun + Bake,ひや
17,先日,the other day,Previous + Sun,せんじつ
18,日光,sunlight,Sun + Sunlight,にっこう
19,日常,everyday,Sun + Normal,にちじょう
20,一昨日,day before yesterday,One + Previous + Sun,おととい
21,日程,schedule,Sun + Extent,にってい
22,祭日,national holiday,Festival + Sun,さいじつ
23,連日,day after day,Take Along + Sun,れんじつ
24,１日,first day of the month,Sun,ついたち
25,３日,3rd day of the month,Sun,みっか
26,５日,5th day of the month,Sun,いつか
27,２日,2nd day of the month,Sun,ふつか
28,１０日,10th day of the month,Sun,とおか
29,６日,6th day of the month,Sun,むいか
30,８日,8th day of the month,Sun,ようか
31,９日,9th day of the month,Sun,ここのか
32,日本,Japan,Sun + Book,にほん
33,４日,4th day of the month,Sun,よっか
34,７日,7th day of the month,Sun,なのか
35,日本語,Japanese (language),Sun + Book + Language,にほんご
36,休日,holiday,Rest + Sun,きゅうじつ
37,朝日,morning sun,Morning + Sun,あさひ
38,日没,sunset,Sun + Die,にちぼつ
39,記念日,memorial day,Write Down + Thought + Sun,きねんび
40,日光浴,sunbathing,Sun + Sunlight + Bathe,にっこうよく
41,曜日,day of the week,Weekday + Sun,ようび
42,今日は,hello,Now + Sun,こんにち
43,二日酔い,hangover,Two + Sun + Drunk,ふつかよ
44,翌日,next day,The Following + Sun,よくじつ
45,駐日,"resident in Japan (of a foreign ambassador, government official, etc.)",Resident + Sun,ちゅうにち
46,同日,the same day,Same + Sun,どうじつ
47,即日,(on) the same day,Instant + Sun,そくじつ
48,近日,soon,Near + Sun,きんじつ
49,何日,what day,What + Sun,なんにち
0,田舎,rural area,Rice Paddy + Cottage,いなか
1,油田,oil field,Oil + Rice Paddy,ゆでん
2,稲田,paddy field,Rice Plant + Rice Paddy,いなだ
0,五つ,five,Five,いつ
1,煩い,noisy,Annoy,うるさ
2,５日,5th day of the month,Sun,いつか
3,５月,May,Moon,ごがつ
4,５０,fifty,,ごじゅう
